2016-03-23 16:30:03.146|[82]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 16:30:03.146|[82]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 16:30:03.146|[82]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 16:35:03.150|[89]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 16:35:03.150|[89]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 16:35:03.150|[89]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 16:35:03.150|[89]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 16:40:03.154|[98]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 16:40:03.154|[98]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 16:40:03.154|[98]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 16:40:03.154|[98]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 16:45:03.158|[101]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 16:45:03.158|[101]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 16:45:03.158|[101]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 16:45:03.158|[101]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 16:50:03.162|[106]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 16:50:03.162|[106]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 16:50:03.162|[106]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 16:50:03.162|[106]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 16:55:03.166|[111]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 16:55:03.166|[111]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 16:55:03.166|[111]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 16:55:03.166|[111]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 17:00:03.171|[123]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 17:00:03.171|[123]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 17:00:03.171|[123]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 17:00:03.171|[123]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 17:05:03.175|[125]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 17:05:03.175|[125]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 17:05:03.175|[125]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 17:05:03.175|[125]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 17:10:03.194|[129]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 17:10:03.194|[129]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 17:10:03.194|[129]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 17:10:03.194|[129]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 17:15:03.199|[141]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 17:15:03.199|[141]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 17:15:03.199|[141]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 17:15:03.199|[141]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 17:20:03.203|[141]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 17:20:03.203|[141]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 17:20:03.203|[141]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 17:20:03.203|[141]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 17:25:03.207|[250]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 17:25:03.207|[250]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
2016-03-23 17:25:03.207|[250]|INFO |Log.TaskService|获得执行计划的日期为：2016-03-23 11:5 
2016-03-23 17:25:03.207|[250]|DEBUG|Log.TaskService|读取到计划名发放红利，PlanType【1】,时间类型1，是否有效0
2016-03-23 17:30:03.211|[257]|INFO |Log.TaskService|ReadXMLFile Start
2016-03-23 17:30:03.211|[257]|DEBUG|Log.TaskService|读取到计划名更新抽水，PlanType【0】,时间类型0，是否有效1
